Restaurant Name,Rating,Cuisine,Location
Atul Sandwich And Cafe,4.1 •,"Fast Food, North Indian, Indian, Chinese, Snacks",Navneet Plaza
UK Restaurants & Kitchens,3.9 •,"North Indian, Thalis, Chinese, Desserts, Indian, Fast Food, Punjabi",Vijay Nagar
Oye24,4 •,"North Indian, Pizzas, South Indian, Desserts, Chinese, Thalis, Indian",Pardesipura
Rollsking,4.1 •,"North Indian, Fast Food, Beverages",Vijay Nagar
Taco Bell,3.6 •,Mexican,Indore
Paratha Junction,2.5 •,North Indian,Old Palasia
Ice Balls and Slice Square,3.6 •,"Pizzas, Fast Food, Pastas, Italian, Beverages, Indian, Ice Cream, Desserts, Snacks",Vijay Nagar
Dal Khichdi,3.9 •,Indian,Old Palasia
99 Roti.Com,3.1 •,"North Indian, Chinese, Pizzas, Fast Food, Snacks",Scheme No:94
La mino'z Pizza,2.8 •,"Pizzas, Fast Food",New Palasia
